,author,content,time
27062,盟特职业培训学校,日本大地震四周年只愿世界再无灾难2011年3月11日日本东北部海域发生90级地震并引发海啸造成15884人遇难地震导致日本福岛第一核电站发生核泄漏大量放射性物质泄漏时隔4年居民木村曾经的家园已成废墟我不能接受他们决定将废料倒在这片承载着我们悲伤记忆的土地上网易新闻,2015年03月11日 17:36
19898,·無量暗翳庭·,还真敢画红围巾啊脑子被核废水冲了吗,05月14日 16:17
85352,保险经纪 不知君,为什么不能一颗核弹把这个祸害平了有这样的邻居真是倒霉,04-17
98438,宝泉,难道不能在事故之后就立即处理吗,04-14
65392,就是一个小疯子,日本东电称核废水稀释后能喝能喝你们就自己喝了呗多好的水资源你们人均安排下去,2020-11-07 13:19
74645,时光,我泱泱大华夏怎么就有日本这么个不成器的孙子,04-16
27273,前瞻经济学人APP,吃货们注意了日本逾百吨核污染食品销台湾台湾食药署日前发现来自日本福岛等曾受核污染地区的286件共1044吨食品疑似鱼目混珠更换产地标签后输入台湾这批违规食品包括咖啡饼干饮料等其中还有日清杯面麒麟午后红茶森永牛奶糖宇治抹茶拿铁等知名产品,2015年03月27日 19:30
97788,kdhujdnx,就是低才说明暗潮涌动这个事情应该之后会有很大的动静,04-15
32579,欧美兹兹酱,地球百子是一部动作科幻剧根据一套尚未出版的小说改编故事描述未来人类爆发核战争后地球表面被彻底摧毁幸存者不得不乘坐一艘太空船四处流浪97年之后这艘太空船上的幸存者们尝试重新对地球进行殖民他们首先挑选了100名有犯罪记录的青少年到已经彻底改变外貌的地球表面进行探索这些人成了人类生存下去的关键L欧美兹兹酱的微博视频收起全文d,2019-04-07 12:00
12775,綦明志Lucien,自然吸引来英雄流氓自信这是两年前发生的福岛核电站核泄漏造成的结果吗永远记住你把自己经营成公主流氓自然吸引到王子圣诞铃铛,2018年08月20日 04:38
96048,子赫,这种情况下极端一点讲我国沿海是不是过几年不用住人了,04-13
74429,FXDY,我们自己的技术人员不是很担心所以毛子嘛那更是不会管,04-13
42520,国稽滑联ICU,福岛核电站污染水怎么办日本环境大臣排入太平洋稀释9月10日日本环境大臣原田义昭就福岛核电站污染水发表言论称考虑过很多方案除了下定决心排入太平洋稀释几乎没有其他选项2011年3月11日日本东北海域发生强烈地震并引发海啸导致福岛第一核电站发生灾难性核辐射泄漏为控制反应堆温度东京电力公司注入大量冷却水因而产生含有辐射物质的污染水目前污染水已超过100万吨储水罐的目标容量是137万吨将在2022年达到极限如果将污染水排入太平洋将遭到渔民的反对并且会激怒韩国等邻国对此日本内阁官房长官菅义伟表示这只是环境大臣的个人观点日本政府将在专家小组提交报告后做出最终处理决定全球眼NewsL全球眼News的秒拍视频福岛核电站污染水排入太平洋稀释收起全文d,2019-09-11 18:09
99696,jack,请问作者日本千叶土壤和空气中的辐射值是否处于安全值,2019-04-17
47534,睿兰易一,受台风海贝思袭扰日本福岛55袋核污染物被水冲走因海贝思带来的暴雨造成福岛的部分核废弃物临时保管处遭水淹截至17日已确认55袋装有核污染物的袋子被水冲走据了解被水冲走的袋子中主要装有从福岛第一核电站核事故现场清理出来的泥土以及树枝草皮每袋重量从百斤到1吨不等央视L人民日报的微博视频收起全文d,2019-10-19 13:58
