author,content,time
Adagio0727,日本福岛第二核电站冷却水发生轻微泄漏经东京电力公司确认福岛地区的核电站自311大地震后便处于停运状态13日晚的地震发生后福岛第一核电站没有报告辐射监测数据变化宫城县女川核电站的设备没有明显异常辐射监测数据没有变化但据NHK电视台报道福岛第二核电站的一号机组用以保存核燃料的冷却水发生轻微泄漏不过据称辐射量很低L央视网的微博视频收起全文d,2021-02-14 10:30:00
今年不要再长痘了,从日本排放核废水了解到了切尔诺贝利核事故以前没听过只记得苏联的关键词就是戈尔巴乔夫和91年苏联解体原来那次核事故就是解体的一个重要原因因为救援和后续问题处理足足耗费了前苏联三十多年的财政收入严重打击了本国经济人类命运共同体诶,2021-04-10 20:07:00
中国蓝国际,核污染水排放时间表下月将提交核污染水排放程序等计划获批后东电再着手建造设备并加强海洋中放射性物质监测等日本原子力规制委员会委员伴信彦在会上指中国蓝国际2021420,2021-04-20 00:00:00
张三,氢弹核平日本,2021-04-16 00:00:00
INSOMA_,LEOZ______OSAMAZ冥王星1974同样因为钱的问题本来核事故废水可以用pe桶存80年再处理达标排放核电站周边空地有的是但要2亿美元政府就决定直排但同时可以一次次拔款修复因核事故损害的日本政府世界形象,2021-05-03 16:33:00
阳2,实在不懂欧美政治家都什么政治头脑实在是无语,2021-04-14 00:00:00
知乎用户,口说无凭东电和日本政府之前食言的次数可不少,2021-04-17 00:00:00
中国日报,福岛核事故10周年福岛核电站厂房上方发现严重污染据日本原子力规制委员会10日发布的调查报告福岛核电站2号3号机组厂房上方可能附着了7万万亿贝克勒尔的放射性物质污染程度远超预期厂房还有引发爆炸的可能目前核电站内还存有超120万吨的放射性污水威胁环境和居民的安全央视新闻L央视新闻的微博视频收起全文d,2021-03-11 10:00:00
芝麻娃娃,苏联用大量的牺牲阻止切尔诺贝利辐射扩散拯救了半个欧洲被骂了几十年日本把废水排入大海欧美媒体屁不放一个,2021-04-12 00:00:00
品如的衣柜,我觉得公众人物可以发表zz意见但发表的得是政治意见而不是智障意见,2021-04-16 00:00:00
IMZ000,我没有点赞同但我觉得这个回答很有参考价值事物是有多面性的我们不能因为不喜欢某一方面就彻底否定它的存在我觉得答主的回答没问题而且很精彩就像辩护律师即便是给杀人犯辩护也并不是因为鼓励犯罪而是为了让法官对案情有更全面的了解而应尽的职责,2021-04-14 00:00:00
CAPT_Jin,最担心的事情,2021-02-13 22:26:00
节操满满纸杯君,孤烟暮蝉日本傻事你们要知道日本在8年前的2013还是用挖坑加三层防水布放核废水的会不会笑出眼泪啦然后结果被发现泄漏查看图片善良的囧囧神钢铁集装箱当初就应该灌铅密封的小日本作为发达国家这个钱都不舍得花宁愿害人害己,2021-05-01 13:47:00
薛定谔的老猫,JohannFaust,2021-04-13 00:00:00
000,没事何平了就好了不然每过几年就搞一次幺蛾子何平以绝后患,2021-04-22 00:00:00
一天到晚游泳的鱼,换个发电机或者外部电源就能解决的依据是什么不是质疑是好奇,2021-04-18 00:00:00
用户6332445051,世界没办法制止日本吗不能让日本条烂尾鱼腥了整个太平洋日本意欲把福岛核电站的核废水排放到太平洋的海水中最终决定周见分晓日本要伤太平洋环太平洋国家都应该严正发声尤其是离日本最近的太平洋沿岸国家我国外交部已经严正发声如果是下周见分晓留给太平洋的时间已经不多了各国都应该明确表态不知世界上有什么样的机构或者国际组织可以制止日本这种不要脸的想法这种做法不但污染了太平洋也会重创日本本国的海洋渔业以后哪国还敢吃日本海鲜这件事事关全球环境安全已经不是日本一个企业可以决定的了日本必须用举国之力解决这个严重问题不能让日本一条烂尾鱼腥了整个太平洋收起全文d,2021-04-10 17:52:00
小汤勺,感谢作者一直关注这个事情无奈不知道有什么途径了解原来有这么多方案日本咋那么抠这是该省钱的时候么干脆按毛熊的来得了,2021-04-22 00:00:00
squter123,会不会有一天哥斯拉真的在现实生活出现,2021-04-13 00:00:00
卢格拉底,东京奥运会还需要抵制我总感觉他开不成,2021-04-12 00:00:00
镜面效应,要是我们中国有那么多核废水我们国家会怎么做呢,2021-04-14 00:00:00
昵称呢永远在路上,孤烟暮蝉日本傻事你们要知道日本在8年前的2013还是用挖坑加三层防水布放核废水的会不会笑出眼泪啦然后结果被发现泄漏查看图片善良的囧囧神钢铁集装箱当初就应该灌铅密封的小日本作为发达国家这个钱都不舍得花宁愿害人害己,2021-05-01 13:16:00
livefei,这让我想起一个老笑话一个日本小孩参观了福岛核电站的残骸爷爷问爷爷这里以前是核电站吗是的爷爷叹了口气拍拍孩子的头那么放射性物质处理得好吗孩子问是的爷爷叹了口气拍了拍孩子的第二个脑袋,2021-04-13 00:00:00
科普大世界,日本要把核废水排放到太平洋中但是太平洋虽大却盛不下这些核废水为什么呢来看看太平洋虽大却盛不下日本的核废水然而这事日本已经干过一次了今日头条,2021-04-11 00:00:00
123YAO,这是日本核打击全世界呀,2021-04-13 00:00:00
oshpcyyeol,任豪没有人比R1SE更爱R1SE也不红倒是爱蹭是被核废水污染了脑子吗,2021-05-03 10:01:00
hawking woo,文科生最好别对不懂的理科问题发表你那可笑的意见哦你说这是财富密码那没问题了,2021-04-22 00:00:00
链行者,最没有社会责任感的国家小日本,2021-04-15 00:00:00
最上青鸟,真的强烈推荐首页里的姐妹去看阿芷今天光合作用了吗从08年开始等的凯尔希黑潮之下就是tmd核废水北斗星空leaf这白开水怎么没味儿为斯卡蒂献出心脏我永远喜欢森蚺两面包夹芝士,2021-05-04 18:15:00
昵称飛鍅,似乎也没啥法律惩罚只能来硬的似乎也不太可行拿小本本记着最好,2021-04-13 00:00:00
laugh,先搞清楚污染程度再说吧不良媒体别有用心,2021-04-14 00:00:00
浙江出版联合集团,致命核污染日本核能大败局2021年4月13日日本政府正式决定将福岛第一核电站上百万吨核污染水排入大海舆论哗然日本的原子能开发一直顶着国家政策的浙江出版联合集团2021420,2021-04-20 00:00:00
树叶和风,没少被举报,2021-04-14 00:00:00
呃呃呃呃呃,不止觉得了不起还要批判观网一下,2021-04-15 00:00:00
凌熙,排骨来啊继续鞠躬在日本干反人类罪是真的不用坐牢的,2021-04-12 00:00:00
夜行的零1977,探索月球为啥不注射福岛核废水godloveyou观察者网,2021-05-13 14:27:00
知乎用户,去哪降温呢,2021-04-17 00:00:00
myouyouu,谏山创喝核废水扶他柠檬茶他好像有那大病得去看了真的伊谢尔伦的风是不是看到火影死神都整了子世代的事情觉得自己必须跟上潮流苏离弦我头一次见这种跟自己读者有仿佛杀全家之仇的作者,2021-05-12 08:01:00
翡帷翠帳以飾堂,重量级嘉宾闪亮登场日本国家旅游局北京办事处此次授予知名青年演员曾舜晞Joseph日本旅游分享官的荣誉称号助力日本不见不散推广计划小晞也将于明天下午2点通过直播间带领大家一同云游日本为大家分享自己日本旅游时的美好回忆想知道小晞在日本都玩什么吃什么买什么吗想知道小晞下一次的日本旅行计划吗让我们一起不见不散新浪旅游收起全文d,2021-02-27 11:00:00
周世安,日本民众没有那么无辜,2021-04-19 00:00:00
知乎用户,还影响DNA真的是什么都能编照你这么编DNA早被影响完了,2021-04-15 00:00:00
蓝鲸财经记者工作平台,鲸视频日本计划先排放7万吨核废水5月13日日本河北新报报道东京电力公司称两年后将最先排放至少7万吨低浓度核污水这批核污水的放射性氚浓度低于每升30万贝克勒尔放射性活度国际单位日本排放标准为每升6万贝克勒尔东电称会将这批核污水稀释后排放世面L世面的微博视频收起全文d,2021-05-13 15:37:00
