,博主昵称,微博内容,发布时间
6041,水泊松山,曹县出口棺木占日本市场90日本棺木的需求量这么大因为核废水吗,05月21日 02:16
9885,沉醉沉溺,抗议日本排核废水有没有谁组织抗议活动抗议日本此举损害环太平洋人民的生命财产健康,04月10日 19:41
5628,五十四岁离异带娃,这里是拆那拆那的营销号接什么立本公司的投稿二鬼子滚回去喝核废水还有那个刘字怎么给立本人系鞋带啊怎么也想当二鬼子滚回去喝核废水吗,05月19日 10:59
4795,绝对熬夜领域,最右核废水还没喝这智商就已经挺一言难尽了霓虹傻事_一言如此的难尽日本说计划排放的废水里只有氚其余放射物质会被过滤出来含氚的水被稀释后无害并且氚也会自然衰变12年13年就消失为什么就不能到时候来看结果非要现在这样吵呢既然就是蓄意想吵闹那人家现在说什么都没用,05月16日 08:24
7451,belllux,香港轉自香港同心總會仝心匯新冠病毒肆虐核廢水生態災難輻射變種病毒人類的未來會如何你能為地球做什麼未來由你來決定歡迎投稿到香港同心總會舉辦的第一屆同心中文寫作比賽全文O网页链接O我能為地球做什麼之我和地球有個約會,05月01日 10:39
515,淘宝c三哥在印度,瑞格非尼瑞戈非尼REGORAFENIB和索拉非尼的效果对比我国是世界上最大的肝癌发病国家每年新发病例超过了全球的一半还多在全部肝癌患者中早期肝癌患者的治疗手段多效果不错手术消融介导都很有效晚期肝癌的患者可应用的治疗方式很少药物经过批准的药物只有索拉非尼多吉美一种另有两三种还在试验的确定失败的有舒尼替尼sunitinib布立尼布brivanib厄洛替尼erlotinib等多个索拉非尼多吉美是一种靶向RAFVEGFPDGF和其他酪氨酸激酶的多激酶抑制剂在4月29日之前都是晚期肝癌唯一线标准治疗药物20072008年间在众多晚期肝癌Ⅲ期临床研究失败后SHARP研究提出的试验结果索拉非尼对比安慰剂治疗晚期肝癌中位总生存OS期延长28个月107vs79一项针对亚洲亚洲晚期肝癌患者服用索拉非尼后的研究表明其中位生存期从平均42个月延长到了65个月索拉非尼应用中的另一个主要挑战是平均应用176周大约4个月多一点的时间后就会失效换句话说就是4个月多些就耐药索拉非尼适应症肾癌肝癌甲状腺癌瑞格非尼Regorafenib也是一个多靶点的酪氨酸激酶的多激酶抑制剂作用靶点超过十个VEGFR1VEGFR2VEGFR3TIE1TIE2RAF1BRAFBRAFV600KITRETPDGFRFGFR等等瑞格非尼在针对使用索拉非尼多吉美耐药后的肝癌患者试验中显著改善了晚期肝癌患者的总生存期HR063中位OS为106个月优于安慰剂组的78个月中位无进展生存PFS期瑞格非尼组为31个月还是很容易耐药的从生存期对比从结果看好像瑞格非尼和索拉非尼的效果差不多但是必须要强调下这个试验是在索拉非尼耐药后获得的也就是说二线达到了一线的水平是比较大的进步了瑞格非尼适应症结直肠癌胃肠道间质瘤肝癌瑞格非尼治疗的不良事件与索拉非尼多吉美相似但更需要密切监测索拉非尼多吉美的皮肤不良事件与患者预后较好有关而瑞格非尼还有待观察且这两种药物同样存在的问题易耐药从数据上看分析患者先用索拉非尼多吉美再服用瑞格非尼在一年内都可能出现耐药问题按照最新的这个用药顺序向肝癌索拉非尼耐药并符合的患者提供纳武单抗在此可能要先考虑瑞格非尼的使用再之后PD1免疫抑制剂纳武单抗Opdivo几乎就是唯一可选药物了日本核废水入海对中国有何影响印度特瑞收起全文d,05月06日 23:30
7995,维里蒂斯,任豪没有人比R1SE更爱R1SE退圈吧去喝核废水吧httptcnR2Wx0ui,05月02日 22:26
7940,半条芩,任豪没有人比R1SE更爱R1SE没有人比任豪更懂核废水处理,05月02日 22:38
6904,我就是大宝呢,日本副首相称喝处理核废水没事自己先喝个几吨净脱裤子不放p,04月20日 23:51
3215,金丝狸猫京剧乐园,外媒对中国环保指手画脚后环保少女喊话中国要改变此前在日本核废水议题上沉默快手快手女巫妖怪L新华每日电讯的快手视频,05月12日 13:45
