,博主昵称,微博内容,发布时间
3040,浮沉人世界,我只想知道这一家十口本来家里就不富裕又要被罚160万是要往死里逼他们吗特别是对于第八个孩子来说他刚出生就背负了166万的巨额天债他还有人权吗他还是正常的中国公民吗别人是享受国家给的福利他还要倒大把大把贴钱给国家还不一定能够享受福利因为可能没有户口,2020年12月25日 22:35
1219,易道老庄8046,中国人不会歧视肤色的黑人兄弟我们爱你黑人兄弟美国退出联合国人权理事会联合国人权高专谴责美警方暴力执法联合国人权二十周年联合国人权联合国人权高专联合国人权理事会联合国人权高专办联合国人权专家联合国人权委员会联合国核心人权文件汇编张伟主编全球疫情美国美国疫情新冠病毒新冠新冠肺炎疫情疫情全知道抗击疫情美利坚美利坚灯塔国威虎堂军事新闻茶余饭后我的2020新闻启示录美国部分示威者焚烧美国国旗美国部分示威者焚烧美国国旗美国明尼阿波利斯市进入紧急状态美国500多名士兵前往明尼阿波利斯等地美国示威现场发生枪击事件美国警察暴力执法致黑人死亡引抗议黑龙江吉林新闻哈尔滨新闻新疆塔里木北京天津生活河北燕京贵州云南西藏陕西身边事西安甘肃青海山西河南浙江湖北山东四川广西福建两广两湖广州从化齐齐哈尔安徽上海浙江江苏安徽江西桂林湖南香港内蒙古深圳宁夏义乌海南省澳门湛江深圳南京南昌辽宁L易道老庄8046的微博视频收起全文d,2020年06月01日 23:48
348,用户6509197441,在一些偏执狂心里你控制疫情是违反人权你疫情失控是治理失败傲慢的魅果狗在中国面前你们在处理一些特别重大事情中连中国的五分之一都做不到,2020年02月24日 23:58
5058,茶馆论道,前美国小姐美国炒作新疆人权的目的是削弱中国记者国际关系评论员2015年美国新泽西小姐萨米拉汗SameeraKhan近日接受了央视CGTN主持人记者王冠的采访身为穆斯林的她直言美国曾在叙利亚利比亚和伊拉克等穆斯林国家以人权为借口进行干预或发动战争她认为华盛顿政客们炒作新疆人权和棉花强迫劳动是因为美国想削弱中国这个强大的对手微博放映厅我支持新疆棉花L茶馆论道的微博视频收起全文d,04月08日 14:53
422,十黏正好,小枫枫_Asgard催婚催生小分队我觉得推上会不会又刷一波侵犯人权yxhydelokiseraph努力让自己快乐这个应该拿到地上波进行播放日本从上到下还是太多太多人不重视了小朋友的日语老师虾饺33南京现状,2020年03月03日 23:40
3537,娱乐圈外汉,刘亚仁二封青龙影帝刘亚仁凭借无声再次捧得青龙奖最佳男主角实至名归恭喜他没有在中国捞金在疫情初期发文声援武汉而且思想前卫注重人权平等,02月09日 22:41
863,九幽九昧,没有任何一个国家的医疗资源储备能够应对这场大流行病西方所有国家的应对措施都是在避免医疗系统崩溃救不了老人至少可以救年轻人而只有两个月前的中国喊出了应收尽收应治尽治的冲锋号这是对所有生命莫大的尊重不因贫富不因贵贱不因年龄只因平等的人这TMD才叫人权潸然泪下收起全文d,2020年04月22日 23:08
4147,四川网络广播电视台,这个被中方制裁的英国机构原来是疆独组织养的22日英国以所谓新疆人权问题为借口宣布对中国有关个人和实体实施单边制裁来而不往非礼也中国外交部26日一早就发出公告对英方9名人员和4个实体实施制裁中方正告英方不要在错误的道路上越走越远否则中方将做出进一步坚决反应O网页链接收起全文d,03月27日 23:54
1699,单于俊力Katherine,1997年4月15日联合国是第7次否决了华人圈提案在美国的操纵和支持下一些西方国家从1990年开始以对中国人权状况感兴趣为名在联合国人权会议上提出了7次反中国议案中国将众多发展中国家团结在一起西方国家就人权问题进行了否决在国家安全法中制定双重标准借助人权问题共同挫败了干涉中国内政的企图2嘉兴收起全文d,2020年08月15日 23:01
4830,我不是小红袄,涨见识不要脸啧啧啧啧破帽遮颜顺序错了推广价值观来拯救中国人的顺序是自由民主人权动保气候性少数拳师CvilasX拳师下一个是动保,04月07日 18:46
