_id,author,content,time
60aee20db2e2068e31ad29e0,中科院物理所,"电解核废水能否减少日本的“神奇宝贝”?| No.257
那么电解核废水可行吗?现时不可行,这主要有两个原因.首先,电解水是一个能耗非常大的过程,电解水生成氢气和氧气的过程效率...
中科院物理所2021-5-14",2021-5-14
60aee20db2e2068e31ad29e1,安岳融媒,"核废水喝了没问题?成都摩托车驾考5月将实行电子考?这些谣言不要信!
“核废水喝了也没问题”“今秋小学学制变5年、初中变4年”“成都摩托车驾考5月即将实行电子考”……大家切记不要轻信这类谣言...
安岳融媒1天前",2021-05-26
60aee20db2e2068e31ad29e2,首席商业评论,"核废水入海,可能是比新冠更可怕的灾难…
4月13日,日本政府召开相关阁僚会议,正式决定向海洋排放福岛第一核电站含有对海洋环境有害的核废水.对于这样让人瞠目结舌的...
首席商业评论2021-4-14",2021-4-14
60aee20db2e2068e31ad29e3,叶檀财经,"日本核废水真要来了!中国怒了 美国疯了 世界慌了!
中新网4月13日消息,日本政府召开内阁会议正式决定,将福岛第一核电站的核污水排入大海.根据该会议决定,福岛核废水将排入太...
叶檀财经2021-4-13",2021-4-13
60aee20db2e2068e31ad29e4,央视财经,"核废水入海,到底危害几何?四问日本排放核废水→
当地时间13日上午,日本政府召开内阁会议,正式决定将东京电力公司福岛第一核电站内储存的核废水排放入海.1四问日本排放核废...
央视财经2021-4-14",2021-4-14
60aee20db2e2068e31ad29e5,好机友,"日本要把核废水排进大海,全球网友都慌了
关于日本到底应该怎么处理福岛核废水的问题,沸沸扬扬地传了那么久,今天终于有了最终的答案.和很多人猜测的一样.日本最终决...
好机友2021-4-13",2021-4-13
60aee20db2e2068e31ad29e6,吃好每天三顿饭,"核废水,会对我们的健康造成哪些影响?海鲜还能吃吗?
核废水,到底含有多少有害物质?2018年8月之前,日本东京电力公司表示,经过处理,核废水当中的绝大部分放射性元素都可以清除...
吃好每天三顿饭2021-4-21",2021-4-21
60aee20db2e2068e31ad29e7,21ic电子网,"核废水还未解决,日本又作出一疯狂决定
蔡璐整理网站:21ic.com日前,21ic家在《中国卫星目击日本福岛第一核电站:核废水储存罐数量惊人!》一文中报道了“日本核废水...
21ic电子网2021-4-26",2021-4-26
60aee20db2e2068e31ad29e8,书单,"日本核废水入海的后果,这个核电员工的遗言早就预告了
这两天,热搜榜被一件事刷爆了: 核废水入海. 4月13日,日本政府正式决定以海洋排放方式,处置福岛核电站事故核废水. 这意味...
书单2021-4-15",2021-4-15
60aee20db2e2068e31ad29e9,灼见,"日本核废水入海事件引众怒:面对核废料,中国是怎么做的?
Apr.14灼见(微信号:penetratingview)“日本不能将核废水向海洋一倒了之.”作者 | 每晚·land来源 | 每晚一卷书(JYXZ89896)...
灼见2021-4-14",2021-4-14
60aee211b2e2068e31ad29eb,飞碟说,"【非硬核科普】为什么日本核废水不能排入海中?
再者,决定日本核废水走向的是北太平洋环流,影响到美国只不过是时间问题.所以美国支持日本倾倒核废水,是不是因为他们认知里...
飞碟说2021-4-29",2021-4-29
