,博主昵称,微博内容,发布时间
1534,viyalkicpcc,祖国反黑站剪刀石头布RockPaperScissortrump说中国人好日子过得太久了简直垃圾还有脸在那里高叫人权显然中国人在他们看来生存权都没有Stevens1983人均GDP美国是中国的6倍这样美国仍尽全力打击和造谣中国摆明就是觉得中国人不配过上好日子只配永远被他们踩在脚下,2020年07月20日 23:12
2220,先利xianli,始皇T侯虹斌1天赋人权凭什么女性要极其优秀才有人权而男性天生就有这些权利全中国只有屠呦呦才配和最普通的男人享有同等的权利2权力并不是靠劳动争取的现在你们这些男性相对于女性拥有的权力并不是因为你们更聪明更勤劳而是更无耻罢了3权利也不是男性好心分给女性本来她就有,2020年10月13日 23:23
7091,泣泣再不见,太原市卫健委宫殿元主任请站出来承担起自己的责任还公平于百姓法律对太原市卫健委宫殿元滥用职权的做法是这样解释的医疗事故处理条例第6章罚则第54条第三项未将应当进行医疗事故技术鉴定的重大医疗过失行为或者医疗事故争议移交医学会组织鉴定的依法给予降职或者撤职的行政处分20177因我母亲普通感冒去世为了指出是太原市太航医院的医疗责任我申请了医疗鉴定这个权利是法律赋予每个公民的医疗鉴定中太航医院和太原市卫健委对我指出是医院的医疗责任以及病历的缺失无异议但不知为何太原市卫健委在拖了1年7个月后已过法律时效同医院又一起否认当时我指出的医疗责任有内幕还剥夺了我的医疗鉴定权自此我丧失了可以定责医院的权利法律给公民解决医疗纠纷的渠道被野蛮堵死太原市卫健委由执法者变为违法者法律被他踩于脚下我人权被剥夺投诉渠道被堵死已无路可走我只能选择网上寻求帮助我实名举报太原市卫健委宫殿元权力寻租太原市太航医院就是权力的受益者我真诚希望监察纪检卫生系统的上级部门能来审查先查我举报是否属实不属实法办我如果查出太原市卫健委宫殿元确实违法请别手软我的资料他们2方全有患者儿子李杰日期20184太原市小店区人民法院对我起诉太航医院已做出判决太原市太航医院在对李杰母亲的治疗中负有不可推卸的医疗责任这也侧面说明太原市卫健委宫殿元包庇太航医院的行为是违规的如何看待日本福岛核废水排海中国女足有多不容易让自己突然开心的方法核污水入海有多可怕流言究竟有多可怕大合唱为什么容易让人动容最好笑的购物经历家里穷对性格影响有多大学校的招生信息有多好笑父母去世姐姐是否必须抚养幼弟夫妻家庭地位由经济决定吗初次见面怎么开场女性展示身材有错吗古代状元真的有水平吗你被哪些玩笑伤害过成年人的崩溃只有五分钟你遇到过的好医生当众求婚算道德绑架吗很贵但绝对很值的东西新冠疫苗接种不良反应有哪些基金暴跌年轻人为什么躲不过被割国考行测股票今日看盘拜登特朗普省考四六级成绩国考国考公告国考职位表初级会计成绩中级会计四六级护考教师资格证微信基金A股创业板新冠疫苗核酸检测疫情防控太原收起全文d,04月15日 00:30
530,想做一只锦鲤兔,如果国外没有大爆发可能他们还是觉得中国人不可理喻武汉人不可理喻失去了人权当时全世界都在骂武汉人可是我们又做错了什么身为武汉人关在家里已经第53天最黑暗的时刻已经撑过去了那段时间真的是太可怕可能不是武汉人真的无法体会到那时的绝望但现在我们在慢慢变好我们都做了自己该尽的责任真的太感谢那些逆行者们没有他们也就没有现在好转的武汉中国老百姓是世界上最好的老百姓看到封国下的意大利乱象后才知道中国老百姓是世界上最好的老百姓O看到封国下的意大利乱象后才知道中国老百姓是世界上最好的老百姓收起全文d,2020年03月13日 23:48
4005,gzzsdd,另一方面却声称中国打算重塑世界以服务于自己的利益这往往是以牺牲美国人珍视的价值观如尊重经济公平民主人权和法治为代价美国人珍视的价值观川普都说美国的普世价值不值钱并在四年里切实践行这些人掩耳盗铃到什么时候特么是太贱孤烟暮蝉贱成这样也是一景,03月17日 23:47
890,大梦梦爱蒙奇奇,耿爽警告蓬佩奥别想任意栽赃中国看完美国大使馆发的蓬佩奥的采访报道开口闭口就是世卫组织欺骗未能及时得到信息美国人现在说话都是随口说的了喷我们现在已经不走技术流开始狂喷模式白眼圈说肯定是中国的死亡人数多闭眼说瞎话的能力真的是要给他点个赞你们再过几天死亡人数都跟我们确诊人数一样你们不就是做不好推卸责任么美国人民的辛酸泪你们看到了么你们还不认真对待还不加强国际合作还在推卸责任蓬佩奥还记得你说过的话么我们撒谎我们欺骗我们偷窃我们还有一门课程专门来教这些这才是美国不断探索进取的荣耀美国的荣耀在哪里美国人的辛酸泪和哀嚎你们看到了么你们听到了么还记得那个丈夫死了几天没人收尸和尸体住了几天的黑人妇女说的话吗这是我们的城市我们被像屎一样对待生活在一个对待民众像屎一样的国家人权呢收起全文d,2020年04月26日 22:48
4430,卧龙晓先生,众所周知以美国为首的G7集团正在以人权等问题为借口对中国进行制裁而一向对美国亦步亦趋的日本,04月05日 19:06
628,我想有钱是真滴,溺爱肖战至死不渝的小飞侠我相信天道好轮回我也接受人间正道是沧桑但自己喜欢的人被如此摧残真的令人很心痛在这过去的二十几天里我和我敬仰的人都受到了不同程度的侮辱和谩骂我想问这世间还有正义么作为中国人我有人权么央视网,2020年03月21日 23:34
5364,漠宏庵,当地时间7日中国驻澳大使成竞业在记者会上反击说某些西方媒体发布一些关于新疆的歪曲报道基本上都是基于谎言和虚假信息任何国家都不应幻想中国会吞下别国干涉中国内政的苦果成竞业还说我们不会挑衅但如果有人挑衅我们我们将以牙还牙如果美英澳加等国妄图凭借其贯耍的阴谋手段污蔑造谣挑起事端必将遭到14亿中国人民的坚决反击中国决不会吞下苦果4月7日中方重磅发声敢挑衅必反击据环球网4月7日援引澳大利亚媒体消息当地时间7日中国驻澳大利亚大使馆举行记者会反击西方所谓新疆存在强迫劳动侵犯人权等行为的指控O网页链接收起全文d,04月09日 16:47
2538,泣泣再不见,澳大利亚101太原市一场大火带走13条生命根源就是职能部门人浮于事漏检导致表面上的火扑灭了可扎根于公务员心理混日子的邪火仍熊熊燃烧这就是太原市卫健委吞咽着患者鲜血踩着患者带血的纱布残肢尸体捞政绩向上爬太原市应该吸取教训整顿吏治抓蛀虫造福百姓否则,2020年11月11日 22:02
3727,正在野蛮生长,有人质疑扶贫攻坚成果的质量提出一些人脱贫后返贫的可能性境外舆论中更有对中国扶贫攻坚的歪曲解读老胡了解一些情况对扶贫的质量脱贫后返贫的可能性政府想的比网上一些人提的还要早它们都是这项治理的核心关切至于西方的一些噪音我只能说那是坏了良心的中国政府举全社会之力扶贫这难道不是天底下最大的善事难道不是当今世界最大的人权工程他们在这里扯什么淡美国英国忙着清点在一场疫情中死亡的人数中国忙着让穷人获得尊严这些国家的现实民生面貌处在不同起点上但究竟哪个国家为保障人权在付出更多努力实现了更大进步大家都请摸着良心说话不要扒拉着政治算盘诡辩胡锡进收起全文d,02月25日 23:48
784,单身追星女孩,day25O网页链接美国成为第三个死亡病例过万国家studytime310m越发觉得资本主义国家是满嘴的仁义道德美国还号称是一个人权的国家试剂检验盒只给有钱人用怕他们维护的不是人权是钱权吧whatashame耿爽请称中国制造有病毒的人别戴中国口罩耿爽称中外公民一视同仁,2020年04月07日 23:48
430,糖渍琥珀酥,抵制肖战肖战粉丝为了挽回肖战的名声去外网把肖战刷到各国热搜前几并控评安利引发下面的笑话并话里话外内涵我们只是举报了那篇文是中国政府封掉的不关我们事甩锅政府本次新冠病毒本来我国形象就颇受微词如今又被质疑中国没有人权和创作自由肖战粉丝饭圈耻辱肖战粉丝举报老福特收起全文d,2020年03月04日 23:23
8205,春華秋實又壹年,如果是中国发生这种事情日媒肯定大炒作是中国践踏人权草菅人命的又一例证日本傻事不在日本任何接种类事故都叫接种ミス翻译成中文接种小失误光照会MK_one钢铁侠针头重复使用算重大事故了吧,05月20日 10:30
2577,LoweGodness,做完刑法题目我内心总有好多小问号有好的可爱的长得像一样的动物奔过去WhatWhat内心纠结要不要再听课还是硬着头皮继续攻占案例题诶人生好难啊话说今天被从早到晚灌输了一堆关于人权民主的争论早上马克思学院的老师说中国的民主棒棒哒我们从本次大选中可以看出美国的选举制度有瑕疵有问题因为布拉布拉布拉下午法理学老师却说这次美国大选显示其制度优越性因为布拉布拉布拉晚上我独自思索tmd刑法怎么整收起全文d,2020年11月14日 22:23
1750,三农问题学者刘建峰,公务员面试攻略之七十八真题猜测目前老龄化现象加剧年轻人也不愿意生孩子育龄妇女数量减少对此你怎么看参考答案第一老龄化是表象是经济发展的结果也是政策调控的结果从世界人口增长规律来看经济发展到一定程度人口老龄化必然到来一方面新生儿减少另一方面老人寿命增多这都导致人口老龄化再加上我国长期行政干预所以老龄化的到来是主观和客观原因共同导致的可谓求仁得仁第二老龄化一旦形成只能优化缓解但不可逆转这也是各国实践的结论很多低生育率国家都有力度更大的鼓励政策但是收效甚微比如俄罗斯韩国日本等即便鼓励生育老龄化都是越来越严重的人不是动物生育不是工业不能指望再来一次行政干预以期阻止老龄化到来以现在的行政透明程度人权独立意识这都是注定是一场空想第三大国空巢不符合中华民族的根本利益也与伟大复兴的梦想不相适应如果你到过凋敝的农村看过就会明白没有人就没有生机活力整个村里都是老人儿童病人妇女没有年青人没有壮年人产业发展不起来乡村文化发展不起来一派死气沉沉一旦我们对老龄化应对不力那么未来的中国也面临这样的风险第四中华民族有着生生不息薪火相传的传统有着不孝有三无后为大的文化现在最为关键的是改变人的思想当下很多年轻人将生育孩子当做负担教育住房医疗压得年轻人喘不过气来所以缺乏生育欲望要拿出更加积极更加精细的措施改变当代年轻人的想法否则注定是舍本逐末第五依靠机器解决人口老龄化不是大道采取人工智能替代年轻人这中间隐藏着极大的风险更要稳妥审慎况且机器再好再多它们也不是炎黄子孙也不是华夏血脉所以这是必须要做但是却等而下之的措施对此要始终保持清醒收起全文d,2020年08月29日 23:08
1252,平等团结互助,外国垃圾也是大爷中国自力更生的残疾老人也没有人权残疾人街头拉二胡遭城管驱逐隔壁宾馆有外国人影响形象5月17日重庆一名女子在路边发现一名残疾人拉二胡卖艺遭到城管驱逐并称前方不远处有外宾宾馆影响中国人形象女子称老人没有亲人每月她给老人1500元捐助目前暂未得到重庆城管相关方面回应O网页链接收起全文d,2020年06月08日 23:27
4113,可能是个丸子吧,呗呗兔_To中国如今是全世界第一产棉大国85产量来自新疆同时中国又是世界第一纺织服装生产大国和出口大国而美国是第一出口棉花大国第三产棉大国喊人权不过都是披着生意外衣,03月24日 23:57
6367,我骄傲20211978我们人类,中国人权研究会发表文章美国对外侵略战争造成严重人道主义灾难O网页链接,04月13日 09:26
1266,任自然,美国所谓的民主自由实为皿煮滋油滋滋冒油,2020年06月11日 23:58
2946,波澜不惊1l,也隔离啊反对中国封锁隔离的呢西方的皿煮自由人权去哪了,2020年12月17日 23:09
5326,有方居士2017,推荐太龌龊美国涉疆报告竟是这样篡改数据的大张旗鼓抹查看O网页链接不久前美国发布人权报告造谣新疆存在种族灭绝我外交部严词回应荒谬至极的世纪谎言西方一些政客将种族灭绝与我国治疆政策相关联已不是第一次2021年1月美国前国务卿蓬佩奥在卸任前造谣中国O网页链接收起全文d,04月09日 18:19
6096,天地日月_g7i,从制度看结果美西人权是个啥国家意志资本化私有权力太任性平民利益被扼杀中国人权民为本人民利益比天大国家意志为民谋执政惠民创佳话两个主义道不同本质就在个群差个体铜臭腥锅汤群体合奏有章法资本主义肥少数两极分化必定垮社会主义富百姓共同富裕乐万家一一记有感与头条面对东升西降的世界大变局中国如何谋划大局开辟新局收起全文d,04月12日 10:43
3703,大长腿不想在西西里挖宝,被定格的人生这几天在老家过事昨天回家的时候看到了村里面一个精神有点问题的傻孩子他还是骑着他那破旧的高梁自行车车上带满了从大街上捡的各种垃圾穿着破破烂烂的中山上衣和肥大的西装裤沾满了灰尘戴着一顶灰色的旧帽子仔细一看黝黑的脸上还有明显的高原红不过多了几分苍老我才反应过来他也四十了很久以前他很喜欢和人招呼寒暄现在却只是傻傻的看我们几眼他应该还认识我们只是不知道经历了什么少了言语今天和奶奶说起问起那人少了言语的缘由奶奶说自从他被派出所抓走几次后见到他人就不怎么说话了那几次都不知什么原因被别人欺负挨打为了保护自己起见持刀伤人被警察抓走但因为精神原因在监狱关了几个月又会被放回来我想可能其实他并不想伤人吧只是因为自己一直是个傻孩子在那些人眼里丧失了人权过分的被人殴打被逼急了吧一次一次的心灵创伤一次次的被抓也一定受了不少惊吓惊吓到少了和人交流奶奶说那人小的时候并不傻还跟着父亲做生意自从母亲逝去父亲不管不顾他人欺负逐渐精神出现了问题有一次他被警察抓了后警察来了解情况屋里屋外全是自己在街上捡的这种破烂儿能卖钱的不能卖钱的到处都是靠着街上捡来的烂水果捡来的死鸡等一些乱七八糟的东西维持生命国家政策好给他建了新房子买了电视给了些救济款不过可能救济款也没有到他手里他还是过着那样的生活还是吃着自己捡来的食物还是会因被人欺负而无奈出手被抓进警察局他还是活在自己被定格的世界里我问奶奶那人之后该怎么办奶奶说他可能也就一直这样一个人潇潇洒洒过一辈子吧时代的车轮滚滚向前我们在各个地方都能感觉到飞速发展的中国体验着新兴科技带来的便利而他却仿佛是个被时代定格的人被永久的定格在了上个世纪九十年代收起全文d,02月23日 23:24
1373,专业级音乐发烧友,中国制定法律条款的相关法律专家们有多少是在国外留学的受到国外毫无底线可言的人权自由民主等西方价值观念影响的这些欧美化的法律专家们制定出来的中国法律真的适合中国吗美国总统特朗普可以任意瞎编谎话连篇的甩锅指责中国而中国高层领导层谁会这样不讲证据任意栽污他国,2020年06月28日 23:04
7755,Jaffa-haifa,对于漠视基本人权的法西斯政权那些冷库的赞同者或者冷漠的路过者都不值得去赞赏其所谓的中立或标榜的客观物以类聚人以群分阶级之间的鸿沟天然清晰什么麦子啊什么信誉啊什么乔木啊等等不过都是犹太资本的不同角度的拥趸欺骗在不同的立场面去欺骗善良中国人混淆视听真假参半,05月17日 05:52
1301,大行愿无尽,佛教化解疫情爱国护国故事第一集打赢新型冠状病毒疫情阻击战人民群众有方法O打赢新型冠状病毒疫情阻击战人民群众有方法第二集打赢新型冠状病毒疫情阻击战紧紧依靠人民群众就是中国人权O沈阳因果教育教学讲堂刘玉珍老师主讲第三集打赢新型冠状病毒疫情阻击战中国民众向世界撤侨国提出强烈抗议O沈阳因果教育教学讲堂刘玉珍老师主讲第四集刘玉珍老师浅谈对当前存在疫情新型冠状病毒肺炎的观点O沈阳因果教育教学讲堂刘玉珍老师主讲第五集面对病毒世界灾难如何解决中国有方法中国有方案中国有声音O沈阳因果教育教学讲堂刘玉珍老师主讲第六集刘玉珍老师为世界新冠病毒早日化解向祖国各级领导请令揭榜呈报成果向联合国汇报中国方案O沈阳因果教育教学讲堂刘玉珍老师主讲第七集佛教大科学揭示揭秘化解新型冠状病毒的真相呈报成果刘玉珍老师主法O佛教大科学揭示揭秘真相佛教大科学揭示揭秘真相O佛教大科学揭示揭秘真相2020年6日18日环城绕佛法会进行中L大行愿无尽的微博视频收起全文d,2020年06月18日 23:59
6866,前进的信使,反烟人脚步看来美国正在用言行告诉我们中国我正在看着你议案还公开点名要授权采取广泛的人权和公民社会措施包括支持香港的民主对所谓新疆强迫劳役强制绝育等侵权行为实施制裁在涉港涉疆涉藏方面这份议案提到的其实基本都是老调重谈,04月15日 16:55
